tile,exclude,tif_download,tif_reproject,chip,filter_chips
12UVV,False,False,False,False,False
11TNH,False,False,False,False,False
11TQG,False,False,False,False,False
15SVB,False,False,False,False,False
12TUT,False,False,False,False,False
14SND,False,False,False,False,False
11ULP,False,False,False,False,False
18TXP,False,False,False,False,False
13SER,False,False,False,False,False
13SBB,False,False,False,False,False
12SUJ,False,False,False,False,False
11UNQ,False,False,False,False,False
10TDQ,False,False,False,False,False
10TFT,False,False,False,False,False
16TFR,False,False,False,False,False
12SXA,False,False,False,False,False
